eng	fra
Tie your shoe.	Nouez votre chaussure.
He gazed at me.	Il me jeta un regard.
I am exhausted.	Je suis crevé.
Do you think so?	Penses-tu la même chose ?
You drive.	Tu conduis.
Calm down!	Calmez-vous !
Stop doing that.	Arrête de faire ça !
No one was seen.	On n'a vu personne.
I'm no rebel.	Je ne suis pas un rebelle.
I'm going.	Je pars maintenant.
I inhaled.	J’ai inspiré.
Are you lonely?	Êtes-vous esseulée ?
I made dinner.	J'ai préparé à déjeuner.
I have no food.	Je ne dispose d'aucune nourriture.
Go outside.	Sortez d'ici.
I went fishing.	Je suis allé pêcher.
Sugar is sweet.	Le sucre est sucré.
Play it cool.	Joue-la pépère.
Get your gear.	Va chercher tes affaires !
Tom was stoned.	Tom était défoncé.
I'm all ears.	Je suis tout ouïe.
Wait a sec.	Attendez une seconde !
Are you excited?	Êtes-vous énervées ?
I'm thorough.	Je suis minutieuse.
I do know that.	Je le sais bien.
We can't win.	Nous ne pouvons par l'emporter.
I'm not strong.	Je ne suis pas fort.
Do you love me?	Tu m'aimes ?
Congratulations!	Tous mes voeux!
Act your age.	Conduis-toi selon ton âge.
They let me go.	Elles m'ont laissée m'en aller.
It's very close.	C'est très proche.
We're working.	Nous sommes en train de travailler.
I like to party.	J'aime faire la fête.
It's very dry.	Il fait très sec.
Did I break it?	L'ai-je brisé ?
I want a lot.	J'en veux plein.
I feel terrific.	Je me sens en pleine forme.
I'm right here.	Je suis juste ici.
A man must work.	Un homme doit travailler.
Check these out.	Regarde ceux-ci !
I'm used to it.	J'y suis habituée.
They're cute.	Ils sont mignons.
Please sing.	Veuillez chanter !
I like to laugh.	J'aime rire.
Keep in touch.	Restons en contact !
Tom's homeless.	Tom est sans domicile fixe.
It's easy.	C'est simple.
Keep quiet.	Restez tranquilles.
Tom hesitated.	Tom a hésité.
Are we prepared?	Sommes-nous prêts ?
Stop crying.	Arrêtez de pleurer !
I bike to work.	Je vais au travail à bicyclette.
It's too late.	C'est trop tard.
Back off.	Retirez-vous.
You're silly.	Vous êtes idiots.
Tom knows that.	Tom sait ça.
We wanted you.	Nous vous voulions.
I made him go.	Je l'ai fait partir.
What a country!	Quel pays !
I must go alone.	Il faut que je m'y rende seul.
You look fine.	Tu as l'air en bonne santé.
He's not in.	Il n'est pas à l'intérieur.
It is snowing.	Il neige.
I'm new here.	Je suis nouveau, ici.
She is sharp.	Elle est tranchante.
Tie your shoe.	Attachez votre lacet de chaussure.
I am in a spot.	Je suis dans un endroit.
Go home now.	Va chez nous, maintenant.
Are you young?	Êtes-vous jeune ?
They ruined it.	Elles l'ont détruit.
Don't give up.	N'abandonne pas.
He ignored me.	Il m'a ignoré.
Come over!	Venez !
I was naive.	J'étais naïve.
I need this one.	Il me faut celle-ci.
He found it.	Il l'a trouvé.
You're fun.	T'es marrante.
It's 8:30.	Il est 8 h 30.
Am I clear?	Suis-je clair ?
I didn't say it.	Je ne l'ai pas dit.
We're worried.	Nous nous faisons du souci.
She fooled him.	Elle l'a berné.
No one likes me.	Personne ne m'apprécie.
You must go.	Tu dois partir.
That's it.	C'est ça.
I'm miserable.	Je suis malheureux.
I help him.	Je l'aide.
It's a classic.	C'est un classique.
Stop them.	Arrêtez-les.
I study French.	J'étudie le français.
War is evil.	La guerre est mauvaise.
Are you home?	Êtes-vous chez moi ?
Do you gamble?	Est-ce que vous jouez ?
Is this correct?	Est-ce exact ?
You're nuts!	Vous êtes givrée !
I am a student.	Je suis étudiant.
I fear no one.	Je ne crains personne.
She needs you.	Elle a besoin de vous.
You may sit.	Vous pouvez vous asseoir.
We're the last.	Nous sommes les derniers.
I've tried.	J'ai tenté.
Are there kids?	Est-ce qu'il y a des enfants ?
They are here.	Ils sont là.
Let me sleep.	Laisse-moi dormir.
Were you happy?	Étiez-vous heureuses ?
You're winning.	Tu l'emportes.
Stop squabbling.	Arrêtez de vous chamailler.
I'm not insane.	Je ne suis pas folle.
I can't fake it.	Je ne peux pas le simuler.
Can you help us?	Pouvez-vous nous aider ?
Try this.	Essaie ceci !
Tom's dying.	Thomas est mourant.
I amused myself.	Je me suis amusée.
I didn't sleep.	Je n'ai pas dormi.
It's not funny.	Ce n'est pas drôle !
I prefer dogs.	Je préfère les chiens.
Take me home.	Amène-moi à la maison.
You may go.	Tu peux t'en aller.
He found it.	Il le trouva.
I caused this.	J'ai causé ceci.
I'm not deaf.	Je ne suis pas sourde.
Time will tell.	L'avenir le dira.
Be punctual.	Soyez ponctuel !
I'm sure.	J'en suis sûr.
That's correct.	C'est juste.
I got fined.	On m'a mis une contredanse.
I like skiing.	J'aime le ski.
Turn around.	Faites demi-tour.
She is strong.	Elle est forte.
I saw him naked.	Je l'ai vu nu.
Let's not argue.	Ne nous disputons pas !
It's adorable.	C'est adorable.
I have a dog.	J'ai un chien.
You're all mad.	Vous êtes tous fous.
It's on my desk.	Elle est sur mon bureau.
Tom has talent.	Tom a du talent.
I won't forget.	Je n'oublierai pas.
It tasted sweet.	Ça avait un goût sucré.
She fainted.	Elle est tombée dans les pommes.
I broke it.	Je l'ai cassé.
How dare you!	Comment osez-vous !
Get lost!	Va voir ailleurs si j'y suis !
I already ate.	J'ai déjà mangé.
Tom set a trap.	Tom tendit un piège.
It's fine today.	Il fait beau aujourd'hui.
I must obey.	Je dois obéir.
I've found it.	Je l'ai trouvé !
I kept my word.	J'ai tenu parole.
He wants to go.	Il veut partir.
I'd do it again.	Je le referais.
It's secret.	C'est secret.
He saved us all.	Il nous sauva toutes.
You're loaded.	T'es plein de fric.
It's all OK.	C'est tout bon.
Are you kidding?	Plaisantes-tu ?
I'm leaving now.	Je pars maintenant.
Sign here.	Signez ici.
That's fun.	C'est marrant.
Who sent you?	Qui t'a envoyée ?
He has gone out.	Il est sorti.
It was too soft.	C'était trop doux.
I never drink.	Je ne bois jamais.
She's an angel.	C'est un ange.
How big you are!	Que vous êtes grande !
It seems likely.	Ça semble probable.
I am exhausted.	Je suis fourbu.
Congratulations!	Félicitations.
Hop in.	Montez.
Cut that out!	Arrête ça !
Are you hiring?	Recrutes-tu ?
I'll just leave.	Je vais juste partir.
Can we fix this?	Pouvons-nous réparer ça ?
Are you up?	Êtes-vous levées ?
I escaped death.	J'ai échappé à la mort.
She sued him.	Elle le poursuivit en justice.
He's so cute.	Il est si mignon !
I need to know.	Moi j'ai besoin de savoir.
You cheated.	Tu as triché.
Got it!	J'ai pigé !
Can we go?	Pouvons-nous nous en aller ?
We needed this.	Nous avions besoin de ça.
We're too weak.	Nous sommes trop faibles.
Don't give up.	N'abandonnez pas.
I prefer biking.	Je préfère faire du vélo.
Do it quickly.	Faites-le vite !
Is your car new?	Est-ce que ta voiture est neuve ?
Are you unlucky?	Es-tu malchanceuse ?
We're not sure.	Nous n'en sommes pas sûrs.
I remembered it.	Je m'en souvenais.
Let's improvise.	Improvisons !
I'll call them.	Je les appellerai.
That helped.	Cela a aidé.
Hands off.	Pas touche !
Did he say that?	Est-ce qu'il a dit ça ?
He has a cold.	Il a attrapé froid.
I like movies.	J'aime le cinéma.
Did Tom stay?	Tom est-il resté ?
Be quiet, girls.	Restez tranquilles, les filles !
Were you busy?	Étiez-vous occupés ?
Who built it?	Qui l'a bâti ?
It's dark.	C'est sombre.
Don't move!	Ne bouge pas !
I like working.	J'aime travailler.
I have a plan.	J'ai un plan.
It was too soft.	C'était trop mou.
I cooked dinner.	J'ai préparé à dîner.
I got hot.	Je me suis mise à avoir chaud.
Let's party.	Célébrons.
I am lazy.	Je suis paresseuse.
You're a child.	Tu es une enfant.
Stop crying.	Arrête de pleurer !
He worked hard.	Il travailla dur.
I need a laptop.	J'ai besoin d'un ordinateur portable.
Read it to me.	Lisez-la-moi !
It's brand new.	Il est tout neuf.
I guess it's OK.	J'imagine que c'est bon.
I was sorry.	Je fus désolée.
Tie your shoes.	Noue tes lacets.
Nobody came.	Personne ne vint.
We're managing.	Nous nous en sortons.
She is not tall.	Elle n'est pas grande.
Try this cake.	Essaye ce gâteau.
I have to win.	Il faut que je l'emporte.
Are you busy?	Êtes-vous occupés ?
Come soon.	Viens bientôt !
Did I win?	L'ai-je emporté ?
Don't laugh.	Ne riez pas.
Shut the door.	Ferme la porte.
He has no fear.	Il n'a pas peur.
Balls are round.	Les balles sont rondes.
She went home.	Elle est rentrée chez elle.
Enjoy the show.	Prenez plaisir au spectacle.
He got angry.	Il s'est mis en colère.
Go grab a drink.	Allez vous attraper quelque chose à boire !
We were there.	Nous y étions.
He's a comedian.	Il est comédien.
You seem upset.	Tu sembles contrariée.
Give it up.	Abandonne !
Stop doing that.	Arrêtez de faire ça !
It's terrible.	C'est terrible !
I am exhausted.	Je suis épuisée.
How nice!	Comme c'est gentil !
We're doomed.	Nous sommes condamnés.
It's a relief.	C'est un soulagement.
God sent a sign.	Dieu a envoyé un signe.
That's ironic.	C'est ironique.
Were you hurt?	As-tu été blessé ?
You're biased.	Tu es partial.
Let me go!	Laissez-moi partir !
Many thanks.	Merci vraiment.
Open the door.	Ouvrez la porte !
That's lovely.	C'est charmant.
I tried that.	J'ai essayé ça.
You've tried.	Tu as essayé.
Are you upset?	Es-tu énervé ?
Did you drop it?	L'avez-vous abandonné ?
That isn't fair.	C'est injuste.
It's mine.	C'est le mien.
I must insist.	Je dois insister.
Tom likes snow.	Tom aime la neige.
I think I can.	Je pense pouvoir.
I will return.	Je reviendrai.
There's a risk.	Il y a un risque.
Tom's home.	Tom est chez lui.
You're my type.	Tu es mon type.
Are you tired?	Êtes-vous fatiguée ?
I'm exhausted.	Je suis crevée.
No one cheated.	Personne ne tricha.
Come talk to me.	Viens et parle-moi.
I got fined.	J'ai été verbalisé.
Go wait outside.	Va attendre dehors.
Did she say it?	L'a-t-elle dit ?
Now I remember.	Maintenant je me rappelle.
Clean your room.	Nettoie ta chambre !
Am I included?	Suis-je inclus ?
We're the best.	Nous sommes les meilleures.
It's really sad.	C'est vraiment triste.
Is it my turn?	C'est à moi ?
I've remarried.	Je me suis remariée.
I had to stop.	Il fallait que j'arrête.
I need you now.	J'ai besoin de toi maintenant.
That's amazing!	C'est incroyable !
They look sad.	Elles ont l'air triste.
She worked hard.	Elle travaillait dur.
I live nearby.	Je vis dans le coin.
Don't be crude.	Ne soyez pas salace !
I found you.	Je t'ai trouvé.
All are present.	Tous sont présents.
Who wants it?	Qui en veut ?
Don't be upset.	Ne soyez pas fâchées !
Turn it off.	Éteins-le !
I was burned.	J'ai été brûlée.
I like reading.	J'aime lire.
It's locked.	C'est verrouillé.
I did that once.	Je l'ai fait une fois.
You're silly.	Tu es idiot.
Do you trust me?	Me fais-tu confiance ?
Take notes.	Prends des notes.
Please sing.	S'il vous plaît, chantez !
It looks good.	Ça a l'air bon.
Were you there?	Y étais-tu ?
I saw somebody.	J'ai vu quelqu'un.
Can they see us?	Sont-ils en mesure de nous voir ?
I have won.	J'ai gagné.
I read his book.	Je lis son livre.
That's for you.	C'est pour toi.
You're bad.	Tu es vilain.
We're adults.	Nous sommes des adultes.
He ignored me.	Il m'ignora.
You look upset.	Tu as l'air contrarié.
Who did he see?	Qui a-t-il vu ?
What's inside?	Qu'est-ce qu'il y a à l'intérieur ?
Take mine.	Prends les miennes.
I want you.	J'ai envie de toi.
Don't do this.	Ne fais pas ça !
Who quit?	Qui démissionne ?
Give me a break.	Lâche-moi !
I have a bruise.	J'ai une ecchymose.
Who's there?	Qui est là ?
How are you?	Comment allons-nous ?
Enjoy your meal.	Faites un agréable repas !
They're weak.	Ils sont faibles.
He quit.	Il laissa tomber.
We're not mad.	Nous ne sommes pas fous.
It's new.	C'est nouveau.
Will you go?	Vous y rendrez-vous ?
Keep Tom safe.	Garde Tom en sécurité.
I need this job.	J'ai besoin de ce travail.
You're tough.	Vous êtes dures.
I hate violence.	Je déteste la violence.
Do I annoy you?	Est-ce que je t'agace ?
Aim. Fire!	En joue ! Feu !
We're escaping.	Nous sommes en train de nous échapper.
He asked me to.	Il me l'a demandé.
I'll talk.	Je parlerai.
We're in town.	Nous sommes en ville.
I'm cleaned out.	Je suis lavé.
Tom got stuck.	Tom est resté coincé.
We shook hands.	Nous nous sommes serrés la main.
Take care!	Prends soin de toi !
Turn it up.	Monte-le.
Ignore them.	Ignore-les.
Prices are high.	Les prix sont élevés.
Don't smile.	Ne souris pas.
Please take one.	Prenez-en un, je vous prie.
I had fun here.	Je me suis amusée, ici.
What a drag!	Quel boulet !
Please stop.	Veuillez arrêter.
I rang the bell.	J'ai fait retentir la cloche.
Tom loves maps.	Tom aime les cartes routières.
Who's going?	Qui va y aller ?
Cool down.	Calmez-vous !
It was very hot.	Il faisait très chaud.
Tom's innocent.	Tom est innocent.
He is not in.	Il n'est pas chez lui.
What happened?	Qu'est-ce qui s'est passé ?
They'll grow.	Elles grandiront.
Are you lost?	Êtes-vous perdu ?
She sounded mad.	Elle avait l'air folle.
I have a date.	J'ai un rencard.
It's still warm.	C'est encore chaud.
I can't feel it.	Je ne le perçois pas.
Can I go now?	Puis-je m'en aller maintenant ?
I have wine.	J'ai du vin.
I'm a bit tipsy.	Je suis un peu éméché.
What do you do?	Que fais-tu ?
I won't go.	Je n'irai pas.
It has a flaw.	Ça a un défaut.
Check these out.	Regarde celles-ci !
Please stop.	Arrêtez, s'il vous plaît.
She cooks well.	Elle cuisine bien.
You'll be fine.	Ça se passera bien pour toi.
Russia is big.	La Russie est grande.
I found a job.	J'ai trouvé un boulot.
Pull over here.	Arrêtez-vous ici !
I ate too much.	J'ai trop mangé.
Isn't it lovely?	N'est-ce pas charmant ?
I just got that.	Je viens de recevoir ça.
I'm naked.	Je me trouve nu.
We're all here.	Nous sommes tous ici.
My wife was mad.	Ma femme était folle.
I'm selfish.	Je suis égoïste.
I beg you.	Je vous en prie.
He's a hunk.	C'est un beau mec.
She liked it.	Elle l'a apprécié.
Are you home?	Êtes-vous chez nous ?
It's a new book.	C'est un nouveau livre.
I'll marry you.	Je vous épouserai.
Tom was tense.	Tom était tendu.
Who's watching?	Qui est en train de regarder ?
Do you see me?	Me vois-tu ?
Don't sing.	Ne chante pas.
It's not real.	Ce n'est pas vrai.
Turn on the TV.	Allume la télé.
Be serious.	Sois sérieux !
Cut it out, Tom.	Ça suffit, Tom.
I'm not asleep.	Je ne suis pas endormie.
That's great!	C'est grand !
My cat is black.	Mon chat est noir.
Is it reliable?	Est-ce fiable ?
I was on patrol.	J'étais en patrouille.
I get it.	J'ai compris.
Tom's dead.	Tom est mort.
Give her a doll.	Donne-lui une poupée !
Stop yelling.	Arrête de hurler.
He lost his job.	Il perdit son travail.
I feel awful.	Je me sens affreusement mal.
What is this?	Qu'est ceci ?
Stop!	Stop !
You're in luck.	Tu es veinard.
Come join us.	Viens te joindre à nous !
It's on my desk.	C'est sur mon bureau.
I had fun here.	Je me suis amusé, ici.
Let's hurry up.	Dépêchons.
I work too much.	Je travaille trop.
He needs money.	Il a besoin d'argent.
I ran for mayor.	Je me suis présenté comme mayeur.
Give me a break.	Lâche-moi !
I'll do it.	Je vais le faire.
I'm not leaving.	Je ne m'en vais pas.
You're good.	Vous êtes bons.
I ate caviar.	J'ai mangé du caviar.
He went skiing.	Il a fait du ski.
Are they cops?	Sont-ils flics ?
No one can help.	Personne ne peut aider.
Tom loves Mary.	Tom adore Mary.
Eat something.	Mangez quelque chose !
I was good.	J'ai été bon.
I saw the fight.	J'ai vu la bagarre.
I'm normal.	Je suis normal.
I guessed right.	J'ai deviné correctement.
I broke a nail.	Je me suis cassé un ongle.
I am speechless.	Je ne trouve pas les mots.
You are good.	Vous êtes bonne.
I'm divorced.	Je suis divorcé.
Boy was I naive.	Ce que j'étais naïf !
Tom likes tofu.	Tom aime le tofu.
Stand up.	Lève-toi.
Stir the soup.	Touillez la soupe !
I got busy.	Je suis devenu occupé.
Are you injured?	Êtes-vous blessée ?
Look behind you.	Regardez derrière vous.
It may be true.	Cela peut être vrai.
She ditched me.	Elle m'a largué.
Have a beer.	Prends une bière !
I saw a dog.	J'ai vu un chien.
Did you hear it?	L'as-tu entendu ?
Are you lonely?	Vous sentez-vous seule ?
He helps us.	Il nous aide.
Am I boring you?	Est-ce que je vous ennuie ?
I can read.	Je peux lire.
I'm unbiased.	Je suis impartiale.
Everybody knew.	Tout le monde savait.
I can come.	Je peux venir.
He is not in.	Il n'est pas à l'intérieur.
They struggled.	Elles ont eu du mal.
Am I fat?	Suis-je grosse ?
I'm positive.	J'en suis sûr.
They struggled.	Elles ont morflé.
Have another.	Prends-en un autre.
Tom will cry.	Tom va pleurer.
Do you remember?	Vous rappelez-vous ?
It's night.	Il fait nuit.
Everyone waited.	Tout le monde a attendu.
You're foolish.	Tu es imprudent.
This stinks.	Ça pue.
She could die.	Il se pourrait qu'elle meure.
I remember it.	Je m'en souviens.
I do love you.	Je t'aime !
He's a southpaw.	C'est un gaucher.
I'm skinny.	Je suis maigrichonne.
You're free.	Vous êtes libre.
Don't push it.	Poussez pas le bouchon !
Tom is dying.	Thomas est mourant.
I have a laptop.	J'ai un ordinateur portable.
I like children.	J'apprécie les enfants.
You promised.	Vous avez promis.
Black suits you.	Le noir te va bien.
Is it blue?	Est-ce bleu ?
He is a psychic.	C'est un voyant.
I'm devastated.	Je suis anéanti.
Don't come here.	Ne viens pas ici !
Is he at home?	Est-il à la maison ?
She is a doctor.	Elle est médecin.
It was too hard.	Elle était trop dure.
I like oysters.	J'aime les huîtres.
Our plan failed.	Notre plan a échoué.
I'm a volunteer.	Je suis volontaire.
She's a hottie.	C'est une bombe.
We got ready.	Nous nous sommes apprêtés.
What a dump.	Quel taudis !
Are you lonely?	Es-tu esseulé ?
Lunch is on.	Le déjeuner est prêt.
Tom is joking.	Tom plaisante.
Raise your hand.	Lève la main.
It works.	Ça fonctionne.
